id,input_json,ground_truth
ldc_entity_recog_051,"{""text"": ""The House has voted to raise the ceiling to $ 3.1 trillion , but the Senate is n't expected to act until next week at the earliest ."", ""tok"": ""The House has voted to raise the ceiling to $ 3.1 trillion , but the Senate is n't expected to act until next week at the earliest ."", ""tok_labeled"": ""The <ENAMEX TYPE=\""ORG\"">House</ENAMEX> has voted to raise the ceiling to <ENAMEX TYPE=\""MONEY\"">$ 3.1 trillion</ENAMEX> , but the <ENAMEX TYPE=\""ORG\"">Senate</ENAMEX> is n't expected to act until <ENAMEX TYPE=\""DATE\"">next week</ENAMEX> at the earliest .""}",House;$ 3.1 trillion;Senate;next week
ldc_entity_recog_052,"{""text"": ""The Treasury said the U.S. will default on Nov. 9 if Congress does n't act by then ."", ""tok"": ""The Treasury said the U.S. will default on Nov. 9 if Congress does n't act by then ."", ""tok_labeled"": ""The <ENAMEX TYPE=\""ORG\"">Treasury</ENAMEX> said the <ENAMEX TYPE=\""GPE\"">U.S.</ENAMEX> will default on <ENAMEX TYPE=\""DATE\"">Nov. 9</ENAMEX> if <ENAMEX TYPE=\""ORG\"">Congress</ENAMEX> does n't act by then .""}",Treasury;U.S.;Nov. 9;Congress
ldc_entity_recog_053,"{""text"": ""The average seven - day compound yield of the 400 taxable funds tracked by IBC 's Money Fund Report eased a fraction of a percentage point to 8.45 % from 8.47 % for the week ended Tuesday ."", ""tok"": ""The average seven - day compound yield of the 400 taxable funds tracked by IBC 's Money Fund Report eased a fraction of a percentage point to 8.45 % from 8.47 % for the week ended Tuesday ."", ""tok_labeled"": ""The average <ENAMEX TYPE=\""DATE\"">seven - day</ENAMEX> compound yield of the <ENAMEX TYPE=\""CARDINAL\"">400</ENAMEX> taxable funds tracked by <ENAMEX TYPE=\""ORG\"">IBC</ENAMEX> 's <ENAMEX TYPE=\""ORG\"">Money Fund Report</ENAMEX> eased a fraction of a percentage point to <ENAMEX TYPE=\""PERCENT\"">8.45 %</ENAMEX> from <ENAMEX TYPE=\""PERCENT\"">8.47 %</ENAMEX> for <ENAMEX TYPE=\""DATE\"">the week ended Tuesday</ENAMEX> .""}",seven - day;400;IBC;Money Fund Report;8.45 %;8.47 %;the week ended Tuesday
ldc_entity_recog_054,"{""text"": ""Compound yields assume reinvestment of dividends and that the current yield continues for a year ."", ""tok"": ""Compound yields assume reinvestment of dividends and that the current yield continues for a year ."", ""tok_labeled"": ""Compound yields assume reinvestment of dividends and that the current yield continues for <ENAMEX TYPE=\""DATE\"">a year</ENAMEX> .""}",a year
ldc_entity_recog_055,"{""text"": ""Average maturity of the funds ' investments lengthened by a day to 41 days , the longest since early August , according to Donoghue 's ."", ""tok"": ""Average maturity of the funds ' investments lengthened by a day to 41 days , the longest since early August , according to Donoghue 's ."", ""tok_labeled"": ""Average maturity of the funds ' investments lengthened by <ENAMEX TYPE=\""DATE\"">a day</ENAMEX> to <ENAMEX TYPE=\""DATE\"">41 days</ENAMEX> , the longest since <ENAMEX TYPE=\""DATE\"">early August</ENAMEX> , according to <ENAMEX TYPE=\""ORG\"">Donoghue 's</ENAMEX> .""}",a day;41 days;early August;Donoghue 's
ldc_entity_recog_056,"{""text"": ""The average maturity for funds open only to institutions , considered by some to be a stronger indicator because those managers watch the market closely , reached a high point for the year -- 33 days ."", ""tok"": ""The average maturity for funds open only to institutions , considered by some to be a stronger indicator because those managers watch the market closely , reached a high point for the year -- 33 days ."", ""tok_labeled"": ""The average maturity for funds open only to institutions , considered by some to be a stronger indicator because those managers watch the market closely , reached a high point for <ENAMEX TYPE=\""DATE\"">the year</ENAMEX> -- <ENAMEX TYPE=\""DATE\"">33 days</ENAMEX> .""}",the year;33 days
ldc_entity_recog_057,"{""text"": ""Nevertheless , said Brenda Malizia Negus , editor of Money Fund Report , yields `` may blip up again before they blip down '' because of recent rises in short - term interest rates ."", ""tok"": ""Nevertheless , said Brenda Malizia Negus , editor of Money Fund Report , yields `` may blip up again before they blip down '' because of recent rises in short - term interest rates ."", ""tok_labeled"": ""Nevertheless , said <ENAMEX TYPE=\""PERSON\"">Brenda Malizia Negus</ENAMEX> , editor of <ENAMEX TYPE=\""ORG\"">Money Fund Report</ENAMEX> , yields `` may blip up again before they blip down '' because of recent rises in short - term interest rates .""}",Brenda Malizia Negus;Money Fund Report
ldc_entity_recog_058,"{""text"": ""The yield on six - month Treasury bills sold at Monday 's auction , for example , rose to 8.04 % from 7.90 % ."", ""tok"": ""The yield on six - month Treasury bills sold at Monday 's auction , for example , rose to 8.04 % from 7.90 % ."", ""tok_labeled"": ""The yield on <ENAMEX TYPE=\""DATE\"">six - month</ENAMEX> <ENAMEX TYPE=\""ORG\"">Treasury</ENAMEX> bills sold at <ENAMEX TYPE=\""DATE\"">Monday</ENAMEX> 's auction , for example , rose to <ENAMEX TYPE=\""PERCENT\"">8.04 %</ENAMEX> from <ENAMEX TYPE=\""PERCENT\"">7.90 %</ENAMEX> .""}",six - month;Treasury;Monday;8.04 %;7.90 %
ldc_entity_recog_059,"{""text"": ""Assets of the 400 taxable funds grew by $ 1.5 billion during the latest week , to $ 352.7 billion ."", ""tok"": ""Assets of the 400 taxable funds grew by $ 1.5 billion during the latest week , to $ 352.7 billion ."", ""tok_labeled"": ""Assets of the <ENAMEX TYPE=\""CARDINAL\"">400</ENAMEX> taxable funds grew by <ENAMEX TYPE=\""MONEY\"">$ 1.5 billion</ENAMEX> during <ENAMEX TYPE=\""DATE\"">the latest week</ENAMEX> , to <ENAMEX TYPE=\""MONEY\"">$ 352.7 billion</ENAMEX> .""}",400;$ 1.5 billion;the latest week;$ 352.7 billion
ldc_entity_recog_060,"{""text"": ""The top money funds are currently yielding well over 9 % ."", ""tok"": ""The top money funds are currently yielding well over 9 % ."", ""tok_labeled"": ""The top money funds are currently yielding <ENAMEX TYPE=\""PERCENT\"">well over 9 %</ENAMEX> .""}",well over 9 %
ldc_entity_recog_061,"{""text"": ""Dreyfus World - Wide Dollar , the top - yielding fund , had a seven - day compound yield of 9.37 % during the latest week , down from 9.45 % a week earlier ."", ""tok"": ""Dreyfus World - Wide Dollar , the top - yielding fund , had a seven - day compound yield of 9.37 % during the latest week , down from 9.45 % a week earlier ."", ""tok_labeled"": ""Dreyfus World - Wide Dollar , the top - yielding fund , had a <ENAMEX TYPE=\""DATE\"">seven - day</ENAMEX> compound yield of <ENAMEX TYPE=\""PERCENT\"">9.37 %</ENAMEX> during <ENAMEX TYPE=\""DATE\"">the latest week</ENAMEX> , down from <ENAMEX TYPE=\""PERCENT\"">9.45 %</ENAMEX> <ENAMEX TYPE=\""DATE\"">a week earlier</ENAMEX> .""}",seven - day;9.37 %;the latest week;9.45 %;a week earlier
ldc_entity_recog_062,"{""text"": ""The average seven - day simple yield of the 400 funds was 8.12 % , down from 8.14 % ."", ""tok"": ""The average seven - day simple yield of the 400 funds was 8.12 % , down from 8.14 % ."", ""tok_labeled"": ""The average <ENAMEX TYPE=\""DATE\"">seven - day</ENAMEX> simple yield of the <ENAMEX TYPE=\""CARDINAL\"">400</ENAMEX> funds was <ENAMEX TYPE=\""PERCENT\"">8.12 %</ENAMEX> , down from <ENAMEX TYPE=\""PERCENT\"">8.14 %</ENAMEX> .""}",seven - day;400;8.12 %;8.14 %
ldc_entity_recog_063,"{""text"": ""The 30 - day simple yield fell to an average 8.19 % from 8.22 % ; the 30 - day compound yield slid to an average 8.53 % from 8.56 % ."", ""tok"": ""The 30 - day simple yield fell to an average 8.19 % from 8.22 % ; the 30 - day compound yield slid to an average 8.53 % from 8.56 % ."", ""tok_labeled"": ""The <ENAMEX TYPE=\""DATE\"">30 - day</ENAMEX> simple yield fell to an average <ENAMEX TYPE=\""PERCENT\"">8.19 %</ENAMEX> from <ENAMEX TYPE=\""PERCENT\"">8.22 %</ENAMEX> ; the <ENAMEX TYPE=\""DATE\"">30 - day</ENAMEX> compound yield slid to an average <ENAMEX TYPE=\""PERCENT\"">8.53 %</ENAMEX> from <ENAMEX TYPE=\""PERCENT\"">8.56 %</ENAMEX> .""}",30 - day;8.19 %;8.22 %;30 - day;8.53 %;8.56 %
ldc_entity_recog_064,"{""text"": ""Newsweek , trying to keep pace with rival Time magazine , announced new advertising rates for 1990 and said it will introduce a new incentive plan for advertisers ."", ""tok"": ""Newsweek , trying to keep pace with rival Time magazine , announced new advertising rates for 1990 and said it will introduce a new incentive plan for advertisers ."", ""tok_labeled"": ""<ENAMEX TYPE=\""ORG\"">Newsweek</ENAMEX> , trying to keep pace with rival <ENAMEX TYPE=\""ORG\"">Time magazine</ENAMEX> , announced new advertising rates for <ENAMEX TYPE=\""DATE\"">1990</ENAMEX> and said it will introduce a new incentive plan for advertisers .""}",Newsweek;Time magazine;1990
ldc_entity_recog_065,"{""text"": ""The new ad plan from Newsweek , a unit of the Washington Post Co. , is the second incentive plan the magazine has offered advertisers in three years ."", ""tok"": ""The new ad plan from Newsweek , a unit of the Washington Post Co. , is the second incentive plan the magazine has offered advertisers in three years ."", ""tok_labeled"": ""The new ad plan from <ENAMEX TYPE=\""ORG\"">Newsweek</ENAMEX> , a unit of <ENAMEX TYPE=\""ORG\"">the Washington Post Co.</ENAMEX> , is the <ENAMEX TYPE=\""ORDINAL\"">second</ENAMEX> incentive plan the magazine has offered advertisers in <ENAMEX TYPE=\""DATE\"">three years</ENAMEX> .""}",Newsweek;the Washington Post Co.;second;three years
ldc_entity_recog_066,"{""text"": ""Alan Spoon , recently named Newsweek president , said Newsweek 's ad rates would increase 5 % in January ."", ""tok"": ""Alan Spoon , recently named Newsweek president , said Newsweek 's ad rates would increase 5 % in January ."", ""tok_labeled"": ""<ENAMEX TYPE=\""PERSON\"">Alan Spoon</ENAMEX> , recently named <ENAMEX TYPE=\""ORG\"">Newsweek</ENAMEX> president , said <ENAMEX TYPE=\""ORG\"">Newsweek</ENAMEX> 's ad rates would increase <ENAMEX TYPE=\""PERCENT\"">5 %</ENAMEX> in <ENAMEX TYPE=\""DATE\"">January</ENAMEX> .""}",Alan Spoon;Newsweek;Newsweek;5 %;January
ldc_entity_recog_067,"{""text"": ""A full , four - color page in Newsweek will cost $ 100,980 ."", ""tok"": ""A full , four - color page in Newsweek will cost $ 100,980 ."", ""tok_labeled"": ""A full , <ENAMEX TYPE=\""CARDINAL\"">four</ENAMEX> - color page in <ENAMEX TYPE=\""ORG\"">Newsweek</ENAMEX> will cost $ <ENAMEX TYPE=\""MONEY\"">100,980</ENAMEX> .""}","four;Newsweek;100,980"
ldc_entity_recog_068,"{""text"": ""He succeeds Terrence D. Daniels , formerly a W.R. Grace vice chairman , who resigned ."", ""tok"": ""He succeeds Terrence D. Daniels , formerly a W.R. Grace vice chairman , who resigned ."", ""tok_labeled"": ""He succeeds <ENAMEX TYPE=\""PERSON\"">Terrence D. Daniels</ENAMEX> , formerly a <ENAMEX TYPE=\""ORG\"">W.R. Grace</ENAMEX> vice chairman , who resigned .""}",Terrence D. Daniels;W.R. Grace
ldc_entity_recog_069,"{""text"": ""W.R. Grace holds three of Grace Energy 's seven board seats ."", ""tok"": ""W.R. Grace holds three of Grace Energy 's seven board seats ."", ""tok_labeled"": ""<ENAMEX TYPE=\""ORG\"">W.R. Grace</ENAMEX> holds <ENAMEX TYPE=\""CARDINAL\"">three</ENAMEX> of <ENAMEX TYPE=\""ORG\"">Grace Energy 's</ENAMEX> <ENAMEX TYPE=\""CARDINAL\"">seven</ENAMEX> board seats .""}",W.R. Grace;three;Grace Energy 's;seven
ldc_entity_recog_070,"{""text"": ""Clark J. Vitulli was named senior vice president and general manager of this U.S. sales and marketing arm of Japanese auto maker Mazda Motor Corp ."", ""tok"": ""Clark J. Vitulli was named senior vice president and general manager of this U.S. sales and marketing arm of Japanese auto maker Mazda Motor Corp ."", ""tok_labeled"": ""<ENAMEX TYPE=\""PERSON\"">Clark J. Vitulli</ENAMEX> was named senior vice president and general manager of this <ENAMEX TYPE=\""GPE\"">U.S.</ENAMEX> sales and marketing arm of <ENAMEX TYPE=\""NORP\"">Japanese</ENAMEX> auto maker <ENAMEX TYPE=\""ORG\"">Mazda Motor Corp</ENAMEX> .""}",Clark J. Vitulli;U.S.;Japanese;Mazda Motor Corp
ldc_entity_recog_071,"{""text"": ""In the new position he will oversee Mazda 's U.S. sales , service , parts and marketing operations ."", ""tok"": ""In the new position he will oversee Mazda 's U.S. sales , service , parts and marketing operations ."", ""tok_labeled"": ""In the new position he will oversee <ENAMEX TYPE=\""ORG\"">Mazda</ENAMEX> 's <ENAMEX TYPE=\""GPE\"">U.S.</ENAMEX> sales , service , parts and marketing operations .""}",Mazda;U.S.
ldc_entity_recog_072,"{""text"": ""Previously , Mr. Vitulli , 43 years old , was general marketing manager of Chrysler Corp. 's Chrysler division ."", ""tok"": ""Previously , Mr. Vitulli , 43 years old , was general marketing manager of Chrysler Corp. 's Chrysler division ."", ""tok_labeled"": ""Previously , Mr. <ENAMEX TYPE=\""PERSON\"">Vitulli</ENAMEX> , <ENAMEX TYPE=\""DATE\"">43 years old</ENAMEX> , was general marketing manager of <ENAMEX TYPE=\""ORG\"">Chrysler Corp. 's</ENAMEX> <ENAMEX TYPE=\""ORG\"">Chrysler</ENAMEX> division .""}",Vitulli;43 years old;Chrysler Corp. 's;Chrysler
ldc_entity_recog_073,"{""text"": ""He had been a sales and marketing executive with Chrysler for 20 years ."", ""tok"": ""He had been a sales and marketing executive with Chrysler for 20 years ."", ""tok_labeled"": ""He had been a sales and marketing executive with <ENAMEX TYPE=\""ORG\"">Chrysler</ENAMEX> for <ENAMEX TYPE=\""DATE\"">20 years</ENAMEX> .""}",Chrysler;20 years
ldc_entity_recog_074,"{""text"": ""Zijin Mountain Observatory of the China Academy Of Sciences announced today that a nation - wide observation network for the collision of Shoemaker - Levy 9 Comet with Jupiter had been built in China and a large - scale astronomical observation plan had been formulated as well ."", ""tok"": ""Zijin Mountain Observatory of the China Academy Of Sciences announced today that a nation - wide observation network for the collision of Shoemaker - Levy 9 Comet with Jupiter had been built in China and a large - scale astronomical observation plan had been formulated as well ."", ""tok_labeled"": ""<ENAMEX TYPE=\""FAC\"">Zijin Mountain Observatory</ENAMEX> of <ENAMEX TYPE=\""ORG\"">the China Academy Of Sciences</ENAMEX> announced <ENAMEX TYPE=\""DATE\"">today</ENAMEX> that a nation - wide observation network for the collision of <ENAMEX TYPE=\""LOC\"">Shoemaker - Levy 9 Comet</ENAMEX> with <ENAMEX TYPE=\""LOC\"">Jupiter</ENAMEX> had been built in <ENAMEX TYPE=\""GPE\"">China</ENAMEX> and a large - scale astronomical observation plan had been formulated as well .""}",Zijin Mountain Observatory;the China Academy Of Sciences;today;Shoemaker - Levy 9 Comet;Jupiter;China
ldc_entity_recog_075,"{""text"": ""According to experts , Jupiter , which orbits the Sun like the Earth , is the largest planet in the solar system ."", ""tok"": ""According to experts , Jupiter , which orbits the Sun like the Earth , is the largest planet in the solar system ."", ""tok_labeled"": ""According to experts , <ENAMEX TYPE=\""LOC\"">Jupiter</ENAMEX> , which orbits the <ENAMEX TYPE=\""LOC\"">Sun</ENAMEX> like the <ENAMEX TYPE=\""LOC\"">Earth</ENAMEX> , is the largest planet in the solar system .""}",Jupiter;Sun;Earth
ldc_entity_recog_076,"{""text"": ""This incident of observing of the comet colliding with Jupiter possesses extremely important significance in researching and forecasting comets colliding with Earth ."", ""tok"": ""This incident of observing of the comet colliding with Jupiter possesses extremely important significance in researching and forecasting comets colliding with Earth ."", ""tok_labeled"": ""This incident of observing of the comet colliding with <ENAMEX TYPE=\""LOC\"">Jupiter</ENAMEX> possesses extremely important significance in researching and forecasting comets colliding with <ENAMEX TYPE=\""LOC\"">Earth</ENAMEX> .""}",Jupiter;Earth
ldc_entity_recog_077,"{""text"": ""The Chinese astronomy arena also places great importance on this phenomenon of the comet colliding with Jupiter and will closely focus attention on its development and changes ."", ""tok"": ""The Chinese astronomy arena also places great importance on this phenomenon of the comet colliding with Jupiter and will closely focus attention on its development and changes ."", ""tok_labeled"": ""The <ENAMEX TYPE=\""NORP\"">Chinese</ENAMEX> astronomy arena also places great importance on this phenomenon of the comet colliding with <ENAMEX TYPE=\""LOC\"">Jupiter</ENAMEX> and will closely focus attention on its development and changes .""}",Chinese;Jupiter
ldc_entity_recog_078,"{""text"": ""In the past few days , under the support of the Chinese Academy of Sciences and the National Natural Science Foundation , a seminar on the plan to monitor comet Shoemaker - Levy 9 colliding with Jupiter convened in Nanjing and more than forty astronomers from all over the country attended ."", ""tok"": ""In the past few days , under the support of the Chinese Academy of Sciences and the National Natural Science Foundation , a seminar on the plan to monitor comet Shoemaker - Levy 9 colliding with Jupiter convened in Nanjing and more than forty astronomers from all over the country attended ."", ""tok_labeled"": ""In <ENAMEX TYPE=\""DATE\"">the past few days</ENAMEX> , under the support of <ENAMEX TYPE=\""ORG\"">the Chinese Academy of Sciences</ENAMEX> and <ENAMEX TYPE=\""ORG\"">the National Natural Science Foundation</ENAMEX> , a seminar on the plan to monitor comet <ENAMEX TYPE=\""LOC\"">Shoemaker - Levy 9</ENAMEX> colliding with <ENAMEX TYPE=\""LOC\"">Jupiter</ENAMEX> convened in <ENAMEX TYPE=\""GPE\"">Nanjing</ENAMEX> and more than <ENAMEX TYPE=\""CARDINAL\"">forty</ENAMEX> astronomers from all over the country attended .""}",the past few days;the Chinese Academy of Sciences;the National Natural Science Foundation;Shoemaker - Levy 9;Jupiter;Nanjing;forty
ldc_entity_recog_079,"{""text"": ""Experts think that this rare and important astronomical phenomenon requires continuous global observation , and that China is located at an important longitudinal position between Japan and Europe , so , China 's observational material from is an indispensable and irreplaceable component in the international joint observation ."", ""tok"": ""Experts think that this rare and important astronomical phenomenon requires continuous global observation , and that China is located at an important longitudinal position between Japan and Europe , so , China 's observational material from is an indispensable and irreplaceable component in the international joint observation ."", ""tok_labeled"": ""Experts think that this rare and important astronomical phenomenon requires continuous global observation , and that <ENAMEX TYPE=\""GPE\"">China</ENAMEX> is located at an important longitudinal position between <ENAMEX TYPE=\""GPE\"">Japan</ENAMEX> and <ENAMEX TYPE=\""LOC\"">Europe</ENAMEX> , so , <ENAMEX TYPE=\""GPE\"">China</ENAMEX> 's observational material from is an indispensable and irreplaceable component in the international joint observation .""}",China;Japan;Europe;China
ldc_entity_recog_080,"{""text"": ""At that time , China will put all advanced astronomical equipment to use to carry out observation , including 2.16 - meter reflecting telescopes , 1.26 - meter infrared telescopes and radio telescopes ."", ""tok"": ""At that time , China will put all advanced astronomical equipment to use to carry out observation , including 2.16 - meter reflecting telescopes , 1.26 - meter infrared telescopes and radio telescopes ."", ""tok_labeled"": ""At that time , <ENAMEX TYPE=\""GPE\"">China</ENAMEX> will put all advanced astronomical equipment to use to carry out observation , including <ENAMEX TYPE=\""QUANTITY\"">2.16 - meter</ENAMEX> reflecting telescopes , <ENAMEX TYPE=\""QUANTITY\"">1.26 - meter</ENAMEX> infrared telescopes and radio telescopes .""}",China;2.16 - meter;1.26 - meter
ldc_entity_recog_081,"{""text"": ""25 - meter telescopes in the decimeter and centimeter wave bands , 10 - meter wave band telescopes and advanced optical telescope terminal equipment will also be used ."", ""tok"": ""25 - meter telescopes in the decimeter and centimeter wave bands , 10 - meter wave band telescopes and advanced optical telescope terminal equipment will also be used ."", ""tok_labeled"": ""<ENAMEX TYPE=\""QUANTITY\"">25 - meter</ENAMEX> telescopes in the <ENAMEX TYPE=\""QUANTITY\"">decimeter</ENAMEX> and <ENAMEX TYPE=\""QUANTITY\"">centimeter</ENAMEX> wave bands , <ENAMEX TYPE=\""QUANTITY\"">10 - meter</ENAMEX> wave band telescopes and advanced optical telescope terminal equipment will also be used .""}",25 - meter;decimeter;centimeter;10 - meter
ldc_entity_recog_082,"{""text"": ""Nanjing Zijin Mountain Observatory has more than forty years of experience in the observation and research of comets and asteroids , and its planet research office is the only scientific research organization in China conducting long term research on comets and asteroids , and since 1988 also started researching the issues of the solar system 's celestial bodies colliding ."", ""tok"": ""Nanjing Zijin Mountain Observatory has more than forty years of experience in the observation and research of comets and asteroids , and its planet research office is the only scientific research organization in China conducting long term research on comets and asteroids , and since 1988 also started researching the issues of the solar system 's celestial bodies colliding ."", ""tok_labeled"": ""<ENAMEX TYPE=\""FAC\"">Nanjing Zijin Mountain Observatory</ENAMEX> has <ENAMEX TYPE=\""DATE\"">more than forty years</ENAMEX> of experience in the observation and research of comets and asteroids , and its planet research office is the only scientific research organization in <ENAMEX TYPE=\""GPE\"">China</ENAMEX> conducting long term research on comets and asteroids , and <ENAMEX TYPE=\""DATE\"">since 1988</ENAMEX> also started researching the issues of the solar system 's celestial bodies colliding .""}",Nanjing Zijin Mountain Observatory;more than forty years;China;since 1988
ldc_entity_recog_083,"{""text"": ""This station 's planet experts also attended many international scientific seminars on the dangers of comets and asteroids colliding with Earth ."", ""tok"": ""This station 's planet experts also attended many international scientific seminars on the dangers of comets and asteroids colliding with Earth ."", ""tok_labeled"": ""This station 's planet experts also attended many international scientific seminars on the dangers of comets and asteroids colliding with <ENAMEX TYPE=\""LOC\"">Earth</ENAMEX> .""}",Earth
ldc_entity_recog_084,"{""text"": ""China 's chemical industry is accelerating the pace of opening up to the outside world , and striding into the world ."", ""tok"": ""China 's chemical industry is accelerating the pace of opening up to the outside world , and striding into the world ."", ""tok_labeled"": ""<ENAMEX TYPE=\""GPE\"">China</ENAMEX> 's chemical industry is accelerating the pace of opening up to the outside world , and striding into the world .""}",China
ldc_entity_recog_085,"{""text"": ""According to Ministry of Chemical Industry presentations , total chemical imports and exports in China were less than 300 million US dollars in 1978 , reached 7.5 billion US dollars last year , and there are already 30 chemical enterprises who exported foreign exchange surpassing 10 million US dollars ."", ""tok"": ""According to Ministry of Chemical Industry presentations , total chemical imports and exports in China were less than 300 million US dollars in 1978 , reached 7.5 billion US dollars last year , and there are already 30 chemical enterprises who exported foreign exchange surpassing 10 million US dollars ."", ""tok_labeled"": ""According to <ENAMEX TYPE=\""ORG\"">Ministry of Chemical Industry</ENAMEX> presentations , total chemical imports and exports in <ENAMEX TYPE=\""GPE\"">China</ENAMEX> were <ENAMEX TYPE=\""MONEY\"">less than 300 million US dollars</ENAMEX> in <ENAMEX TYPE=\""DATE\"">1978</ENAMEX> , reached <ENAMEX TYPE=\""MONEY\"">7.5 billion US dollars</ENAMEX> <ENAMEX TYPE=\""DATE\"">last year</ENAMEX> , and there are already <ENAMEX TYPE=\""CARDINAL\"">30</ENAMEX> chemical enterprises who exported foreign exchange surpassing <ENAMEX TYPE=\""MONEY\"">10 million US dollars</ENAMEX> .""}",Ministry of Chemical Industry;China;less than 300 million US dollars;1978;7.5 billion US dollars;last year;30;10 million US dollars
ldc_entity_recog_086,"{""text"": ""Complete equipment set exports of China 's chemical industry made a fractional breakthrough , while double equipment set installations , with an annual production of 40,000 tons of ion film caustic soda , were successively exported to Indonesia and complete equipment sets , with an annual production of 200,000 tons of sodium carbonate , were exported to Iran ."", ""tok"": ""Complete equipment set exports of China 's chemical industry made a fractional breakthrough , while double equipment set installations , with an annual production of 40,000 tons of ion film caustic soda , were successively exported to Indonesia and complete equipment sets , with an annual production of 200,000 tons of sodium carbonate , were exported to Iran ."", ""tok_labeled"": ""Complete equipment set exports of <ENAMEX TYPE=\""GPE\"">China</ENAMEX> 's chemical industry made a fractional breakthrough , while double equipment set installations , with an annual production of <ENAMEX TYPE=\""QUANTITY\"">40,000 tons</ENAMEX> of ion film caustic soda , were successively exported to <ENAMEX TYPE=\""GPE\"">Indonesia</ENAMEX> and complete equipment sets , with an annual production of <ENAMEX TYPE=\""QUANTITY\"">200,000 tons</ENAMEX> of sodium carbonate , were exported to <ENAMEX TYPE=\""GPE\"">Iran</ENAMEX> .""}","China;40,000 tons;Indonesia;200,000 tons;Iran"
ldc_entity_recog_087,"{""text"": ""Currently , technology exports that China can provide reach 52 ."", ""tok"": ""Currently , technology exports that China can provide reach 52 ."", ""tok_labeled"": ""Currently , technology exports that <ENAMEX TYPE=\""GPE\"">China</ENAMEX> can provide reach <ENAMEX TYPE=\""CARDINAL\"">52</ENAMEX> .""}",China;52
ldc_entity_recog_088,"{""text"": ""In the past ten years , foreign capital that China 's chemical industry accumulatively absorbed reached 8.5 billion US dollars , and is being used for the construction and technology transformation of chemical fertilizer and petroleum ."", ""tok"": ""In the past ten years , foreign capital that China 's chemical industry accumulatively absorbed reached 8.5 billion US dollars , and is being used for the construction and technology transformation of chemical fertilizer and petroleum ."", ""tok_labeled"": ""In <ENAMEX TYPE=\""DATE\"">the past ten years</ENAMEX> , foreign capital that <ENAMEX TYPE=\""GPE\"">China</ENAMEX> 's chemical industry accumulatively absorbed reached <ENAMEX TYPE=\""MONEY\"">8.5 billion US dollars</ENAMEX> , and is being used for the construction and technology transformation of chemical fertilizer and petroleum .""}",the past ten years;China;8.5 billion US dollars
ldc_entity_recog_089,"{""text"": ""Germany 's Foreign Minister , Kinkerl said that , he welcomed the NATO ultimatum to the Serbian people of Bosnia - Herzegovina ."", ""tok"": ""Germany 's Foreign Minister , Kinkerl said that , he welcomed the NATO ultimatum to the Serbian people of Bosnia - Herzegovina ."", ""tok_labeled"": ""<ENAMEX TYPE=\""GPE\"">Germany</ENAMEX> 's Foreign Minister , <ENAMEX TYPE=\""PERSON\"">Kinkerl</ENAMEX> said that , he welcomed the <ENAMEX TYPE=\""ORG\"">NATO</ENAMEX> ultimatum to the <ENAMEX TYPE=\""NORP\"">Serbian</ENAMEX> people of <ENAMEX TYPE=\""GPE\"">Bosnia - Herzegovina</ENAMEX> .""}",Germany;Kinkerl;NATO;Serbian;Bosnia - Herzegovina
ldc_entity_recog_090,"{""text"": ""At the same time , he also demanded that new talks be held to end the civil war in Bosnia - Herzegovina ."", ""tok"": ""At the same time , he also demanded that new talks be held to end the civil war in Bosnia - Herzegovina ."", ""tok_labeled"": ""At the same time , he also demanded that new talks be held to end the civil war in <ENAMEX TYPE=\""GPE\"">Bosnia - Herzegovina</ENAMEX> .""}",Bosnia - Herzegovina
ldc_entity_recog_091,"{""text"": ""Kinkerl said that NATO 's decision was \"" correct and necessary \"" ."", ""tok"": ""Kinkerl said that NATO 's decision was \"" correct and necessary \"" ."", ""tok_labeled"": ""<ENAMEX TYPE=\""PERSON\"">Kinkerl</ENAMEX> said that <ENAMEX TYPE=\""ORG\"">NATO</ENAMEX> 's decision was \"" correct and necessary \"" .""}",Kinkerl;NATO
ldc_entity_recog_092,"{""text"": ""He requested the United Nations , the European Union , the US and Russia to put forward a new joint proposal to force both warring parties of the Bosnia - Herzegovina to return to the negotiating table ."", ""tok"": ""He requested the United Nations , the European Union , the US and Russia to put forward a new joint proposal to force both warring parties of the Bosnia - Herzegovina to return to the negotiating table ."", ""tok_labeled"": ""He requested <ENAMEX TYPE=\""ORG\"">the United Nations</ENAMEX> , <ENAMEX TYPE=\""ORG\"">the European Union</ENAMEX> , the <ENAMEX TYPE=\""GPE\"">US</ENAMEX> and <ENAMEX TYPE=\""GPE\"">Russia</ENAMEX> to put forward a new joint proposal to force both warring parties of the <ENAMEX TYPE=\""GPE\"">Bosnia - Herzegovina</ENAMEX> to return to the negotiating table .""}",the United Nations;the European Union;US;Russia;Bosnia - Herzegovina
ldc_entity_recog_093,"{""text"": ""The two sides will continue to strive together and strengthen cooperation in a pragmatic spirit ."", ""tok"": ""The two sides will continue to strive together and strengthen cooperation in a pragmatic spirit ."", ""tok_labeled"": ""The <ENAMEX TYPE=\""CARDINAL\"">two</ENAMEX> sides will continue to strive together and strengthen cooperation in a pragmatic spirit .""}",two
